X,Y
246,51403
247,57981
248,65674
249,63705
250,58724
251,64051
252,70399
253,66933
254,60231
255,63503
256,63518
257,66287
258,64565
259,66278
260,66498
261,66102
262,62998
263,56996
264,63234
265,71044
266,72605
267,69200
268,69402
269,73061
270,72566
271,77611
272,81822
273,83748
274,92412
275,92757
276,86530
277,86679
278,86853
279,89789
280,87089
281,89786
282,93434
283,92572
284,93499
285,93480
286,93521
287,101971
288,103358
289,110118
290,110105
291,113131
292,110157
293,111036
294,117939
295,119770
296,119242
297,116356
298,113350
299,113349
300,105658
301,105723
302,109451
303,106141
304,103725
305,100016
306,99801
307,99120
308,100936
309,98641
310,98567
311,100832
312,103666
313,97502
314,101486
315,104283
316,101049
317,99516
318,96931
319,101045
320,101605
321,101750
322,102420
323,103012
324,106962
325,110682
326,111022
327,119579
328,126357
329,126909
330,127315
331,128296
332,132328
333,133637
334,129909
335,131339
336,134747
337,131296
338,128018
339,126678
340,127066
341,122396
342,120759
343,119773
344,125047
345,130007
346,126101
347,117841
348,118183
349,117083
350,115802
351,121280
352,126226
353,134839
354,135651
355,129249
356,128008
357,133564
358,136058
359,139282
360,139090
361,138856
362,132466
363,132808
364,130772
365,125762
366,127535
367,129454
368,124793
369,123696
370,125153
371,125573
372,125371
373,133124
374,128898
375,130406
376,138019
377,144350
378,142570
379,142380
380,145728
381,143180
382,143839
383,147329
384,144564
385,151286
386,151320
387,144375
388,145243
389,145638
390,153197
391,152731
392,156438
393,158164
394,160097
395,156918
396,156078
397,158206
398,158091
399,159286
400,163983
401,162805
402,162326
403,159239
404,164725
405,162988
406,168158
407,165033
408,158764
409,160083
410,153643
411,147972
412,151920
413,153306
414,155018
415,148167
416,148889
417,150756
418,152747
419,159993
420,165723
421,167600
422,172002
423,165136
424,166890
425,167905
426,170171
427,169063
428,165465
429,163095
430,164870
431,160681
432,158449
433,162333
434,169768
435,169007
436,173776
437,179518
438,183755
439,189390
440,200324
441,196264
442,205591
443,209232
444,205854
445,206417
446,215161
447,210845
448,211361
449,206660
450,207924
451,200360
452,202535
453,202444
454,207845
455,211076
456,209163
457,202516
458,205408
459,202605
460,202993
461,205339
462,211831
463,217699
464,211656
465,207686
466,211123
467,212911
468,220644
469,222124
470,222683
471,228808
472,223472
473,224038
474,225396
475,231532
476,236345
477,237858
478,238614
479,232213
480,229761
481,230704
482,232502
483,233460
484,229277
485,223118
486,217807
487,221810
488,220226
489,223259
490,224956
491,229249
492,233922
493,231068
494,239290
495,248808
496,253567
497,259886
498,253057
499,251641
500,250455
501,257342
502,258349
503,262085
504,268202
505,268181
506,265268
507,267844
508,266611
509,271766
510,279133
511,285708
512,284341
513,282322
514,284645
515,281024
516,283841
517,280624
518,278002
519,283694
520,283589
521,283987
522,282529
523,287082
524,291266
525,289684
526,294642
527,287185
528,291973
529,292119
530,290847
531,297834
532,299572
533,299552
534,293156
535,293328
536,294685
537,296396
538,305018
539,305345
540,309363
541,313888
542,309777
543,307557
544,308571
545,316267
546,318408
547,316287
548,319055
549,319592
550,326818
551,326869
552,324329
553,324075
554,327910
555,326748
556,328360
557,333507
558,337819
559,334828
560,331468
561,327686
562,328964
563,334261
564,338983
565,340414
566,339241
567,339010
568,333524
569,334838
570,332477
571,337827
572,337231
573,334897
574,330268
575,333409
576,331061
577,336668
578,337387
579,338989
580,334746
581,335643
582,335830
583,339831
584,347768
585,347218
586,347890
587,347435
588,345010
589,342522
590,348795
591,353145
592,359833
593,355864
594,351885
595,352073
596,360836
597,360505
598,363153
599,369119
600,372228
601,369309
602,373009
603,373847
604,378969
605,386085
606,383006
607,376174
608,372916
609,375778
610,375857
611,375877
612,377977
613,376706
614,379177
615,383529
616,383223
617,387360
618,388658
619,388635
620,390584
621,393360
622,394776
623,399133
624,397884
625,398855
626,396780
627,397561
628,395253
629,396483
630,400811
631,396259
632,394181
633,391750
634,392580
635,395764
636,395614
637,395085
638,395238
639,400670
640,401752
641,402333
642,409033
643,408642
644,410989
645,411646
646,413282
647,414474
648,418350
649,421751
650,424146
651,428222
652,435889
653,433533
654,436700
655,439360
656,436189
657,435002
658,434304
659,436046
660,432705
661,433822
662,431861
663,424482
664,425590
665,426813
666,432072
667,433517
668,435336
669,437208
670,439150
671,439498
672,440932
673,447960
674,452958
675,452727
676,457340
677,460380
678,467047
679,474017
680,478412
681,476488
682,486164
683,485729
684,482326
685,480230
686,486653
687,481142
688,478384
689,473425
690,474494
691,469837
692,475951
693,474370
694,475160
695,479173
696,486650
697,485588
698,486376
699,484200
700,493048
701,489486
702,494033
703,488783
704,490256
705,494181
706,497383
707,496046
708,495586
709,499961
710,510682
711,510293
712,512484
713,511653
714,514265
715,515864
716,511620
717,512761
718,514894
719,514942
720,520254
721,518518
722,515903
723,520066
724,520777
725,525077
726,528509
727,530425
728,533232
729,533307
730,537574
731,532030
732,536331
733,536089
734,537397
735,541717
736,544964
737,544407
738,547494
739,550128
740,550266
741,553726
742,556195
743,549950
744,557479
745,551943
746,556810
747,557032
748,559948
749,566677
750,560530
751,568352
752,563812
753,570765
754,572664
755,574105
756,584787
757,582551
758,577955
759,575122
760,570036
761,571990
762,565235
763,566154
764,562779
765,564189
766,566551
767,565940
768,570664
769,577225
770,579028
771,587167
772,596703
773,598193
774,609140
775,617176
776,622238
777,622313
778,617811
779,617765
780,614843
781,615524
782,609902
783,607446
784,614073
785,613601
786,613502
787,612623
788,613232
789,617504
790,618921
791,628528
792,634189
793,641666
794,646255
795,647671
796,644979
797,649449
798,651380
799,656564
800,657621
801,654906
802,648141
803,645195
804,645573
805,648042
806,652496
807,656641
808,650634
809,658335
810,652631
811,655198
812,656427
813,660976
814,663784
815,661935
816,659507
817,660782
818,658725
819,658434
820,656034
821,657431
822,661492
823,664826
824,667890
825,672742
826,675460
827,679170
828,678672
829,681785
830,690815
831,688064
832,697165
833,696522
834,703760
835,707411
836,711087
837,710555
838,708954
839,708402
840,715621
841,711982
842,714336
843,715003
844,719685
845,719606
846,721420
847,719604
848,724236
849,723757
850,723375
851,717043
852,717308
853,726161
854,722252
855,716495
856,712710
857,707298
858,704827
859,700474
860,699888
861,703127
862,705183
863,711773
864,712557
865,713445
866,717179
867,719156
868,720436
869,726572
870,728873
871,737887
872,742244
873,745479
874,747318
875,747438
876,749349
877,750174
878,754708
879,759425
880,763409
881,772488
882,769656
883,769946
884,777590
885,776140
886,780519
887,783611
888,789535
889,793677
890,797746
891,799047
892,801892
893,802863
894,803813
895,806289
896,808014
897,809979
898,815596
899,821201
900,818306
901,822276
902,818372
903,815438
904,821600
905,830023
906,831022
907,839708
908,841688
909,837994
910,834817
911,837572
912,840557
913,846574
914,852661
915,858813
916,858029
917,860907
918,856405
919,851295
920,857963
921,859630
922,863599
923,865129
924,868312
925,869730
926,862664
927,865603
928,867384
929,869471
930,879042
931,877238
932,881302
933,885343
934,879929
935,880313
936,878769
937,889190
938,889270
939,889037
940,888875
941,881068
942,884245
943,883229
944,879948
945,886791
946,883897
947,890265
948,891374
949,888223
950,883102
951,886413
952,889971
953,894958
954,898821
955,907189
956,909202
957,914865
958,915939
959,910279
960,911643
961,919473
962,918929
963,926110
964,930336
965,929078
966,926221
967,925724
968,923673
969,921738
970,923612
971,926710
972,928273
973,935063
974,934585
975,931385
976,935369
977,937742
978,937168
979,939149
980,941002
981,942445
982,942035
983,944476
984,948088
985,950475
986,950202
987,948497
988,947619
989,948745
990,951664
991,951886
992,954955
993,959306
994,955611
995,950071
996,945405
997,945786
998,947986
999,948232
